event_id_cnty,notes,gold_label,gold_label_full,actor_norm
CAO12776,"On 5 February 2021, military forces and Ambazonian separatists engaged in an armed clash in Mulang (Bamenda - Njah, Bamenda 3, Mezam, Nord-Ouest). There were no casualties.",B,Battles,State forces (Cameroon)
CAO4338,"On 5 February 2021, the military forces engaged in fire fights with Ambazonian separatists in Mulang neighborhood of Bamenda town, Bamenda 2 subdivision (Mezam, Nord-Ouest). Clashes also broke out at a hospital in Bamenda after an IED planted by suspected Ambazonian separatists went off at the hospital. No fatality and/or casualty reported.",B,Battles,State forces (Cameroon)
CAO13006,"On 21 February 2024, Security forces, coded as the military forces beat 3 motorbike riders at a checkpoint in Njinikom (Njinikom, Boyo, Nord-Ouest) for passing through with the corpse of their colleague without paying 1,000 Franc CFA to the security forces.",V,Violence against civilians,State forces (Cameroon)
CAO4239,"On 24 December 2020, the military forces repelled an attack of Boko Haram in Makoulahe village, Mora subdivision (Mayo-Sava, Extreme-Nord), killing one assailant.",B,Battles,State forces (Cameroon)
CAO8979,"On 10 September 2022, military forces came into contact with Ambazonian Separatists from the Bui Unity Warriors at a minor outpost and engaged them in an armed clash in Bamkika'ai in Kumbo (Kumbo, Bui, Nord-Ouest). 4 fighters were killed and one other was wounded.",B,Battles,State forces (Cameroon)
CAO13845,"On 30 June 2024, suspected military forces clashed with suspected Ambazonian Separatists at Four Corners in Bambui (Tubah, Mezam, Nord-Ouest). A stray bullet killed a civilian.",B,Battles,State forces (Cameroon)
CAO15710,"Other: On 25 September 2024, traveling security forces, coded as the military forces, while transporting a wounded soldier, fired multiple warning gunshots in the air along the main road in Bamenda - Nkwen (Bamenda 3, Mezam, Nord-Ouest).",S,Strategic developments,State forces (Cameroon)
CAO8017,"Around 28 October 2023, the gendarmerie officers arrested 95 civilians, including 11 women in the PK 21 and Nkolbong areas in the 5th and 3rd arrondissements of Douala (Douala 1, Wouri, Littoral). The arrests come as part of a large-scale security raids. They also seized 34 motorbikes, bladed weapons and household electrical equipment.",S,Strategic developments,State forces (Cameroon)
CAO4061,"Arrests: On 26 November 2020, the police, gendarmerie and military's rapid intervention battalion arrested close to 150 people in Kumba town (Ndian, Sud-Ouest) for not having ID cards and for allegedly having links with separatists.",S,Strategic developments,State forces (Cameroon)
CAO9658,"On 8 February 2021, military forces captured and killed two Ambazonian Separatists in Bachou-Ntai at the outskirts of Mamfe (Manyu, Sud-Ouest).",B,Battles,State forces (Cameroon)
CAO8684,"Around 2 March 2024 (as reported), the military forces clashed with the Boko Haram (JAS) (likely) militants along the road between Djibrili and Zamga, coded to Djibrili (Mayo-Moskota, Mayo-Tsanaga, Extreme-Nord). 1 militant was killed.",B,Battles,State forces (Cameroon)
CAO7035,"On 9 February 2023, the military forces fired shots in Mejang (Tubah, Mezam, Nord-Ouest). The military shot from a hilltop that disrupted community workers. It is not known if they were fighting separatists or were scaring potential threats. Causalities unknown.",V,Violence against civilians,State forces (Cameroon)
CAO15434,"On 25 August 2024, the military forces from the Rapid Intervention shot and killed 1 civilian at the military base in Batibo (Batibo, Momo, Nord-Ouest). The soldiers had arrested the victim while accusing him of accommodating Ambazonian Separatists in his residence.",V,Violence against civilians,State forces (Cameroon)
CAO9461,"On 27 September 2022, military forces/ATC invaded an Ambazonian Separatists hideout in Mbengwi subdivision, coded to Mbengwi (Momo, Nord-Ouest). During the invasion, military forces shot and killed a high-profiled fighter popularly known as 'General Millipede'. The dead body of the deceased was displayed at a public transport facility.",B,Battles,State forces (Cameroon)
CAO6455,"On 5 August 2022, the Kousseri gendarmerie clashed with unidentified armed group (bandits) in Kousseri ((Kousseri, Logone-et-Chari, Extreme-Nord). The armed bandits were specialized in motorbike theft. The gendarmeries were able to recover a motorbike belonging to a gendarme officer and to aid organization CODAS CARITAS. Unknown fatalities.",B,Battles,State forces (Cameroon)
CAO10195,"On 17 January 2023, state security forces (coded as military) shot and injured a herbalist after he was summoned to their base in Santa commune, coded to Santa (Mezam, Nord-Ouest). Circumstances surrounding the attack are unclear.",V,Violence against civilians,State forces (Cameroon)
CAO14814,"On 8 July 2024, gendarmerie forces beat and injured 3 civilians who refused to follow the soldiers orders to cut down corn planted along the main road in Kakar (Ndu, Donga-Mantung, Nord-Ouest). The victims were among some 50 civilians who had been arrested from their private residences and forced to cutting down the corn plants. All the civilians were released after the work was completed.",V,Violence against civilians,State forces (Cameroon)
CAO12973,"Defusal: On 28 March 2024, the military forces defused an IED planted by an unidentified armed group suspected of being Boko Haram (JAS) (likely) militants in Matakaya (Mora, Mayo-Sava, Extreme-Nord). There were no fatalities or injuries.",S,Strategic developments,State forces (Cameroon)
CAO10023,"On 7 February 2023, military forces based on a tip-off attacked and engaged Ambazonian Separatists in an armed clash at an illegal vehicle checkpoint in Achang (Ngie, Momo, Nord-Ouest). The clash lasted for close to 2 hours 30 minutes, two separatists were killed and an unspecified number of soldiers were wounded.",B,Battles,State forces (Cameroon)
CAO13959,"On 15 May 2024, state security forces, coded as the military forces, ambushed, shot and killed an Ambazonian Separatist in Simonkov village in Kumbo area (Bui, Nord-Ouest). Additionally, they arrested one separatist and transported him to a detention facility.",B,Battles,State forces (Cameroon)
CAO14643,"On 28 June 2024, the security forces, coded as the military forces, clashed with the Ambazonian Separatists at the Separatist hideout in Mbenghahang, coded to Mbengwi (Mbengwi, Momo, Nord-Ouest) during an army operation. 1 soldier was killed and 3 Separatists were arrested.",B,Battles,State forces (Cameroon)
CAO7944,"Around 12 October 2023 (week of), the military forces (Rapid Intervention) raided and clashed with Ambazonian Separatist fighters at the separatist hideout in Obonyi III (Akwaya, Manyu, Sud-Ouest). 6 separatists were killed. 15 weapons were seized and more than 2,300 pieces of ammunition.",B,Battles,State forces (Cameroon)
CAO11497,"On 20 June 2023, Gendarmerie forces arrested 70 civilians (60 men and 10 women) from their private residences in Banga Bakundu (Kumba 3, Meme, Sud-Ouest). The arrested civilians were taken to the Gendarmerie detention facility in Mambanda.",S,Strategic developments,State forces (Cameroon)
CAO3671,"On 15 September 2020, the military forces killed one suspected Ambazonian separatist in Bamenda town (Mezam, Nord-Ouest).",B,Battles,State forces (Cameroon)
CAO10403,"On 9 April 2023, State security forces, coded as the military forces, clashed with the Ambazonian Separatists in Mbah, coded to Kumbo (Kumbo,Bui, Nord-Ouest). 2 Separatists and 2 civilians were killed. The military forces set 3 civilian houses and several motorbikes on fire accusing the civilians of collaborating with the Separatists.",B,Battles,State forces (Cameroon)
CAO14548,"On 17 June 2024, security forces, coded as military forces, arrested 25 civilians from their private residences on Ngassa Street in Fiango (Kumba 3, Meme, Sud-Ouest) for an unknown reason, and were taken to the military base for further investigation.",S,Strategic developments,State forces (Cameroon)
CAO11480,"Around 17 June 2023 (as reported), Gendarmerie forces attacked and killed 1 civilian in Baingo (Belo, Boyo, Nord-Ouest). He had been arrested by the Gendarmerie the previous day and his body was found under a tree at a road junction.",V,Violence against civilians,State forces (Cameroon)
CAO11970,"On 22 October 2023, state security forces (coded as military) shot and killed two Ambazonian Separatists at their home in Banga Bakundu (Meme, Sud-Ouest).",B,Battles,State forces (Cameroon)
CAO9239,"Property destruction: On 13 March 2023, state forces, coded as military, set three houses on fire in Sop (Jakiri, Bui, Nord-Ouest) as retaliation to an IED explosion planted by Ambazonian Separatists against another group of state forces earlier the day (coded separately).",S,Strategic developments,State forces (Cameroon)
CAO12285,"On 18 September 2023, the Gendarmerie forces beat 3 healthcare workers (1 male and 2 women) in Nforya, coded to Bafut (Bafut, Mezam, Nord-Ouest) leaving them severely injured. There were no fatalities. The healthcare workers were accused of treating and collaborating with Ambazonian Separatists.",V,Violence against civilians,State forces (Cameroon)
CAO3880,"On 6 August 2020, the military forces reportedly randomly arrested 75 people in Muea town (Fako, Sud-Ouest).",S,Strategic developments,State forces (Cameroon)
CAO9633,"On 6 January 2021, state forces, coded as military, clashed with Ambazonian Separatists in Ntahga, a village in Nkwen (Bamenda - Nkwen, Mezam, Nord-Ouest). There were four dead as a result of the clash.",B,Battles,State forces (Cameroon)
CAO4978,"On 24 January 2021, the military forces raided Mulang neighborhood of Bamenda town, Bamenda 2 subdivision (Mezam, Nord-Ouest), killing 4 young civilians who were consuming hard drugs.",V,Violence against civilians,State forces (Cameroon)
CAO4080,"On 1 December 2020, the military forces repelled an attack of Boko Haram in Boudoua village, Mora subdivision (Mayo-Sava, Extreme-Nord). One Boko Haram fighter was killed, and several others injured. The military seized two motorbikes.",B,Battles,State forces (Cameroon)
CAO6193,"On 21 June 2022, Cameroonian military forces clashed with Ambazonia separatist in Essu (Fungom, Menchum, Nord-Ouest) leading to the death of 1 separatist and 1 civilian was injured. She was taking to the hospital for treatment.",B,Battles,State forces (Cameroon)
CAO3959,"On 2 November 2020, the military forces raided Boh Etoma-Three Corners locality, around Bali village (Mezam, Nord-Ouest). They killed at least 2 civilians, looted shops, and burnt motorbikes.",V,Violence against civilians,State forces (Cameroon)
CAO15608,"On 21 September 2024, patrolling security forces, coded as the military forces, shot and killed 3 Ambazonian Separatists from the Restoration Forces faction by the roadside in Liongo (Buea, Fako, Sud-Ouest).",B,Battles,State forces (Cameroon)
CAO11527,"On 29 June 2023, travelling Gendarmerie forces clashed with Ambazonian Separatists at an illegal checkpoint in Wainamah (Jakiri,Bui,Nord-Ouest). There were no fatalities. 1 Separatist was injured. 2 motorbikes suspected to belong to Separatists were set on fire. The Gendarmerie forces arrested 3 civilians and took them to their base in Kumbo. They were later released.",B,Battles,State forces (Cameroon)
CAO9976,"Defusal: On 1 October 2021, state forces, coded as military, defused an IED planted by Ambazonian Separatists in Oku (Bui, Nord-Ouest).",S,Strategic developments,State forces (Cameroon)
CAO9790,"On 15 November 2022, military forces stormed a checkpoint and clashed with Ambazonian Separatists in Andek (Momo, Nord-Ouest). Two of the fighters were killed while others sustained injuries. Some soldiers were injured as well.",B,Battles,State forces (Cameroon)
CAO2828,"On 11 January 2020, Boko Haram attacked the village of Kerawa, in Kolofata subdivision (Mayo-Sava, Extreme-Nord), resulting in a fire fight with RIB military forces. No fatality and/or casualty reported.",B,Battles,State forces (Cameroon)
CAO12627,"On 27 January 2021, state forces on an operation in Bambui (Tubah, Mezam, Nord-Ouest) arrested four civilians. Their whereabouts are still unknown.",V,Violence against civilians,State forces (Cameroon)
CAO13117,"On 20 March 2024, state security forces, coded as the military forces ambushed, shot and killed 2 Ambazonian Separatists from the Restoration Forces faction in Lipenja Camp (Ekondo Titi, Ndian, Sud-Ouest). The military forces recovered two weapons from the Separatists.",B,Battles,State forces (Cameroon)
CAO3310,"On 28 May 2020, military forces killed four people suspected to be armed bandits in Bonduma neighbourhood of Buea town (Fako, Sud-Ouest). Residents say the victims were not armed.",V,Violence against civilians,State forces (Cameroon)
CAO6179,"On 9 June 2022, Cameroonian military forces attacked Bamunka (Ndop, Ngo-Ketunjia, Nord-Ouest) killing 1 civilian. At least 13 buildings, including businesses were burnt.",V,Violence against civilians,State forces (Cameroon)
CAO13900,"On 6 July 2024, the military forces shot and killed 2 civilians in Bamali (Ndop, Ngo-Ketunjia, Nord-Ouest) as the military forces entered the village and began shooting. Several civilians were injured.",V,Violence against civilians,State forces (Cameroon)
CAO14085,"On 28 April 2024, police officers arrested at least 26 civilians, including males and females, at a private residence in Bamenda (Bamenda II, Mezam, Nord-Ouest). They were accused of dealing and consuming illegal drugs.",S,Strategic developments,State forces (Cameroon)
CAO15187,"On 29 September 2024, the military forces from the Rapid Intervention clashed with the Boko Haram (JAS) (likely) militants in Godigong (Mora, Mayo-Sava, Extreme-Nord) during a military operation. There were no fatalities.",B,Battles,State forces (Cameroon)
CAO9705,"On 23 June 2022, military forces shot and killed two male civilians in Ekombe Bonji (Kumba 1, Meme, Sud-Ouest).",V,Violence against civilians,State forces (Cameroon)
CAO6892,"Around 2 January 2023, the Cameroonian military forces clashed with Ambazonian Separatists fighters between the Manyu and the Ebinsi Rivers, coded to Manyu Division (Mamfe, Manyu, Sud-Ouest). There were no fatalities/casualties.",B,Battles,State forces (Cameroon)
CAO5673,"On 12 November 2021, a police officer opened fire on a car that refused to stop at a checkpoint in Bamenda town, Bamenda 1 subdivision (Mezam, Nord-Ouest). One 7-years old pupil was hit by a stray bullet and killed. The police officer was later arrested.",V,Violence against civilians,State forces (Cameroon)
CAO2947,"On 7 February 2020, military forces raided the village of Noni (Bui, Nord-Ouest). No fatality and/or casualty reported.",V,Violence against civilians,State forces (Cameroon)
CAO10446,"On 28 March 2023, state security forces (coded as military) shot and killed one male civilian, whom they arrested on 6 March, in Nkar, near Sop (Bui, Nord-Ouest). They deposited his corpse by the roadside. The reason behind his killing is unclear.",V,Violence against civilians,State forces (Cameroon)
CAO10858,"On 23 December 2023, the military forces clashed with the Ambazonian Separatists in Baingo (Belo, Boyo, Nord-Ouest). One civilian was killed by a stray bullet.",B,Battles,State forces (Cameroon)
CAO5105,"On 28 March 2021, the military and police forces engaged in fire fights with Ambazonian separatists in Tinto 1 forest, Upper Bayang subdivision (Manyu, Sud-Ouest), resulting in 4 police officers getting killed, and a military vehicle destroyed.",B,Battles,State forces (Cameroon)
CAO11756,"On 16 July 2023, state security forces (coded as military) shot and killed an Ambazonian Separatist, then dumped his body by the road in Wone (Meme, Sud-Ouest). They left a note on his corpse which read 'All Ex-Fighters should surrender themselves to the state authorities.' The deceased Separatist was arrested from a health facility in Wone on 11 July 2023.",V,Violence against civilians,State forces (Cameroon)
CAO7761,"Around 9 September 2023, the military forces (Rapid Intervention) clashed with the Biafra Nations League in Abana, coded to Isangele (Isangele, Ndian, Sud-Ouest). Casualties unknown. The operation coordinator of BNL (Black Marines faction) told his militants to retreat from Abana.",B,Battles,State forces (Cameroon)
CAO5330,"Around 22 July 2021 (week of), the military forces shot and killed a student in Bambili village, Tubah subdivision (Mezam, Nord-Ouest).",V,Violence against civilians,State forces (Cameroon)
CAO15406,"On 29 August 2024, gendarmerie forces clashed with Ambazonian Separatists from the ADF faction led by 'General' Small John at the Separatist hideout in Meyerim (Akwaya, Manyu, Sud-Ouest). 1 Separatist was killed while 4 others escaped with life-threatening injuries.",B,Battles,State forces (Cameroon)
CAO6494,"On 23 August 2022, the Cameroonian military forces killed two civilian in Bafut (Bafut, Mezam, Nord-Ouest). The military accused one of them of being a separatist fighter based on his haircut.",V,Violence against civilians,State forces (Cameroon)
CAO8679,"On 27 March 2024, the military forces clashed with Ambazonian Separatists at the Separatist hideout in Bambui (Tubah, Mezam, Nord-Ouest). About 13 Separatists were killed.",B,Battles,State forces (Cameroon)
CAO11862,"On 8 September 2023, the military clashed against SOCADEF in Weme (Meme, Sud-Ouest), resulting in two SOCADEF fighters sustaining life-threatening injuries. A stray bullet injured a civilian. State security forces casualties remain unknown.",B,Battles,State forces (Cameroon)
CAO7879,"Around 15 June 2021, the military clashed with the Ambazonian Separatist fighters, coded to Kumbo (Kumbo, Bui, Nord-Ouest). Casualties unknown. The clashes were part of a military operation called 'Kumbo Clean' that had been ongoing since May 2021 to fight against separatist fighters.",B,Battles,State forces (Cameroon)
CAO3141,"On 31 March 2020, the military forces intervene to repel a Boko Haram attack on the village of Mayo Moskota (Mayo-Sava, Extreme-Nord). No fatality and/or casualty reported.",B,Battles,State forces (Cameroon)
CAO5272,"On 25 June 2021, the military forces raided Kumbo town (Bui, Nord-Ouest). They fired shots in the air, and at shops, as well as 10 cars and 20 motorbikes along the road, destroying them. No fatalities/casualties reported.",V,Violence against civilians,State forces (Cameroon)
CAO13702,"On 25 May 2024, the military forces conducted airstrikes in Gore Mamane, coded to Hile Alifa (Hile-Alifa, Logone-et-Chari, Extreme-Nord). There we also airstrikes in Kamouna (coded separately). There were no fatalities. 1 Fulani pastoralist was injured. The airstrike killed cattle, goats and sheep belonging to Fulani pastoralists and destroyed a field of off-season beans.",E,Explosions/Remote violence,State forces (Cameroon)
CAO12108,"On 17 August 2023, state security forces, coded as military, sexually assualted some girls whom they had arrested and detained in Ashing, Belo commune, coded to Oku (Boyo, Nord-Ouest). The girls were released after the intervention of the Reverend Priest from their church. One of the girls suffered severe injuries as a result of the assualt and was taken to a health center.",V,Violence against civilians,State forces (Cameroon)
CAO3149,"On 4 April 2020, military forces attacked the village of Nwa (Donga-Mantung, Nord-Ouest), killing two people and reportedly extorting money and other valuables from the villagers.",V,Violence against civilians,State forces (Cameroon)
CAO12365,"On 5 September 2023, military forces from the Rapid Intervention Battalion attacked Ambazonian Separatists at their hideout in Akossia (Mezam, Nord-Ouest). Three Separatists were killed, and several others were injured.",B,Battles,State forces (Cameroon)
CAO4088,"On 4 December 2020, the military forces engaged in fire fights with suspected Ambazonian separatists in Muyuka town (Fako, Sud-Ouest). No fatality and/or casualty reported.",B,Battles,State forces (Cameroon)
CAO7957,"On 11 April 2021, the military forces clashed with the Ambazonian Separatist fighters in Bambele (Tombel, Kupe-Manenguba, Sud-Ouest). An Ambazonian general was killed in the attack.",B,Battles,State forces (Cameroon)
CAO8739,"On 31 March 2024, a gendarme shot and killed a motorbike rider at a checkpoint in Kai-Kai (Kai-Kai, Mayo-Danay, Extreme-Nord) he refused to stop and pay 500 FCFA.",V,Violence against civilians,State forces (Cameroon)
CAO4504,"On 26 March 2021, the army's rapid intervention battalion engaged in fire fights with Ambazonian separatists in Kumbo town, Jakiri subdivision (Bui, Nord-Ouest). 4 separatists were killed, and several others injured.",B,Battles,State forces (Cameroon)
CAO14469,"On 13 May 2024, the military forces arrested 46 civilians (37 men and 9 women) from their private residence in Bombanda (Kumba 1, Meme, Sud-Ouest) for collaborating with Ambazonian Separatists.",S,Strategic developments,State forces (Cameroon)
CAO4185,"On 1 January 2021, the army's rapid intervention battalion repelled an attack of Boko Haram in Gakara village (Mayo-Sava, Extreme-Nord). No fatality and/or casualty reported.",B,Battles,State forces (Cameroon)
CAO15046,"On 26 July 2024, the military forces from the Rapid Intervention arrested 23 men and 5 women from their private residences in Banga Bakundu (Kumba 3, Meme, Sud-Ouest) during a search operation to dislodge Ambazonian Separatist hideouts in the area.",S,Strategic developments,State forces (Cameroon)
CAO10405,"On 8 April 2023, the State security forces, coded as the military force, clashed with the Ambazonian Separatists in Batibo (Batibo, Momo, Nord-Ouest). There were no fatalities. During the operation, the military forces arrested about 30 civilians from several villages and moved them to their base.",B,Battles,State forces (Cameroon)
CAO8359,"On 4 January 2024, the military forces killed 1 unidentified armed group member in Bourrha (Bourrha, Mayo-Tsanaga, Extreme-Nord). The member was known to abduct civilians. Food items, clothing, bladed weapons and other items were recovered.",B,Battles,State forces (Cameroon)
CAO11538,"Property destruction: On 30 May 2023, state forces, coded as military, set an abandoned motorcycle on fire in Nsih Odoh, near Ndu (Donga-Mantung, Nord-Ouest) which belonged to a civilian. They thought it belonged to an armed group members.",S,Strategic developments,State forces (Cameroon)
CAO9044,"On 25 May 2022, the military forces fired gunshots around Bafut Airport in Bafut (Bafut, Mezam, Nord-Ouest) under unclear circumstances. The shooting lasted for some 20minutes. There were no fatalities.",V,Violence against civilians,State forces (Cameroon)
CAO12240,"On 18 August 2023, state security forces (coded as military) engaged in an armed confrontation with Ambazonian Separatists in Baingo (Boyo, Nord-Ouest). One Separatist was killed.",B,Battles,State forces (Cameroon)
CAO11000,"Other: On 18 January 2024, the military fired sporadic warning shots to the air for about twenty minutes in Fonam (Mbengwi, Momo, Nord-Ouest) during an operation against Ambazonian Separatists.",S,Strategic developments,State forces (Cameroon)
CAO6030,"On 22 April 2022, the Cameroonian military (Rapid intervention) ambushed Boko Haram (JAS) (likely) elements in Kouyape (Kolofata, Mayo-Sava, Extreme-Nord) killing 1 Boko Haram (JAS) (likely) element and injuring several others as they fled the ambush.",B,Battles,State forces (Cameroon)
CAO6121,"Around 31 May 2022, Cameroonian military forces (Rapid Intervention) tortured a teacher who they had arrested in Bafut (Bafut, Mezam, Nord-Ouest) accusing him of being a separatist fighter. He was later released.",V,Violence against civilians,State forces (Cameroon)
CAO5190,"On 31 May 2021, soldiers shot and killed a taxi bike driver in Batibo town, (Momo, Nord-Ouest).",V,Violence against civilians,State forces (Cameroon)
CAO3145,"On 2 April 2020, the military forces reportedly randomly shot about 7 people in Vekovi village (Mezam, Nord-Ouest). The source doesn't report if the victims were killed or injured.",V,Violence against civilians,State forces (Cameroon)
CAO9333,"Other: On 18 February 2023, state forces fired several gunshots in the air as they drove through Kosala in Kumba (Meme, Sud-Ouest).",S,Strategic developments,State forces (Cameroon)
CAO3511,"On 27 July 2020, ISWAP attacked a military camp in Sagme town (Logone-Et-Chari, Extreme-Nord). No fatality and/or casualty reported.",B,Battles,State forces (Cameroon)
CAO9359,"On 2 March 2023, state security forces arrested 30 male civilians in Akaoh Quarter in Muyuka (Fako, Sud-Ouest) and took them to a detention facility in Buea after they were unable to find an Ambazonian Separatist known as 'Commander Waat'.",S,Strategic developments,State forces (Cameroon)
CAO12441,"Around 28 July 2023 (as reported), state security forces shot and killed two Ambazonian Separatists in Kumbo commune, coded to Kumbo (Bui, Nord-Ouest) whom they had captured on 28 July (coded separately).",V,Violence against civilians,State forces (Cameroon)
CAO8023,"Defusal: Around 1 November 2023, the military forces (Rapid Intervention) defused a landmine suspected of having been planted by Boko Haram (JAS) (likely) militants between Limani and Goumouldi, coded to Limani (Mora, Mayo-Sava, Extreme-Nord).",S,Strategic developments,State forces (Cameroon)
CAO3899,"On 14 September 2020, the police forces arrested 'dozens' of young men in Muea village (Fako, Sud-Ouest).",S,Strategic developments,State forces (Cameroon)
CAO5141,"Property destruction: On 12 May 2021, the security forces (assumed Police Forces) destroyed the goods of traders in the market of Ndop town (Ngo-Ketunjia, Nord-Ouest) in an attempt to force them to sell inside the market instead of at its entrance.",S,Strategic developments,State forces (Cameroon)
CAO6034,"Around 26 April 2022, the Cameroonian military conducted a raid and clashed with Ambazonian separatists fighters in Mbonge (Mbonge, Meme, Sud-Ouest), killing 14 separatists fighters in 3 locations of Batibo, Ndu and Mbonge. 14 fatalities split across 3 events.",B,Battles,State forces (Cameroon)
CAO12569,"On 31 July 2022, state security forces, coded as military, clashed with Ambazonian Separatists in Batibo (Momo, Nord-Ouest). The military killed 7 militants, injured a nurse, and set two civilian houses on fire.",B,Battles,State forces (Cameroon)
CAO15525,"On 4 September 2024, security forces, coded as the military and the self-defense militia, clashed with the Ambazonian Separatists from the Restoration Forces faction in Bai Panya (Kumba 1, Meme, Sud-Ouest). 3 Separatists and 1 civilian herbalist were killed.",B,Battles,State forces (Cameroon)
CAO8160,"Looting: Around 25 November 2023, a military engineer looted a shop in Yaounde (Yaounde 1, Mfoundi, Centre). He was caught after a CCTV caught him in action. He had stolen a small-sized woofer speaker.",S,Strategic developments,State forces (Cameroon)
CAO7007,"On 29 January 2023, suspected members of the Cameroonian military forces attacked traveling civilians on the Bamenda-Kumbo road, coded to Bamenda (Bamenda 1, Mezam, Nord-Ouest). 2 drivers were killed by the military. The victims were traveling to Jakiri when they were stopped by the soldiers.",V,Violence against civilians,State forces (Cameroon)
