model,prob_col,threshold,accepted,coverage,correct,accuracy,total_valid
qwen2.5,pred_conf_iso,0.8,37,0.74,30,0.811,50
qwen2.5,pred_conf_iso,0.9,0,0.0,0,,50
qwen2.5,pred_conf_iso,0.95,0,0.0,0,,50
qwen2.5,pred_conf_iso,0.99,0,0.0,0,,50
mistral,pred_conf_iso,0.0,50,1.0,38,0.76,50
mistral,pred_conf_iso,0.1,47,0.94,38,0.809,50
mistral,pred_conf_iso,0.2,47,0.94,38,0.809,50
mistral,pred_conf_iso,0.3,47,0.94,38,0.809,50
mistral,pred_conf_iso,0.4,47,0.94,38,0.809,50
mistral,pred_conf_iso,0.5,47,0.94,38,0.809,50
mistral,pred_conf_iso,0.6,47,0.94,38,0.809,50
mistral,pred_conf_iso,0.7,47,0.94,38,0.809,50
mistral,pred_conf_iso,0.8,47,0.94,38,0.809,50
mistral,pred_conf_iso,0.9,0,0.0,0,,50
mistral,pred_conf_iso,0.95,0,0.0,0,,50
mistral,pred_conf_iso,0.99,0,0.0,0,,50
llama3.2,pred_conf_temp,0.0,50,1.0,36,0.72,50
llama3.2,pred_conf_temp,0.1,50,1.0,36,0.72,50
llama3.2,pred_conf_temp,0.2,50,1.0,36,0.72,50
llama3.2,pred_conf_temp,0.3,50,1.0,36,0.72,50
llama3.2,pred_conf_temp,0.4,49,0.98,35,0.714,50
llama3.2,pred_conf_temp,0.5,49,0.98,35,0.714,50
llama3.2,pred_conf_temp,0.6,36,0.72,22,0.611,50
llama3.2,pred_conf_temp,0.7,0,0.0,0,,50
llama3.2,pred_conf_temp,0.8,0,0.0,0,,50
llama3.2,pred_conf_temp,0.9,0,0.0,0,,50
llama3.2,pred_conf_temp,0.95,0,0.0,0,,50
llama3.2,pred_conf_temp,0.99,0,0.0,0,,50
qwen2.5,pred_conf_temp,0.0,50,1.0,38,0.76,50
qwen2.5,pred_conf_temp,0.1,50,1.0,38,0.76,50
qwen2.5,pred_conf_temp,0.2,50,1.0,38,0.76,50
qwen2.5,pred_conf_temp,0.3,50,1.0,38,0.76,50
qwen2.5,pred_conf_temp,0.4,50,1.0,38,0.76,50
qwen2.5,pred_conf_temp,0.5,50,1.0,38,0.76,50
qwen2.5,pred_conf_temp,0.6,37,0.74,30,0.811,50
qwen2.5,pred_conf_temp,0.7,37,0.74,30,0.811,50
qwen2.5,pred_conf_temp,0.8,37,0.74,30,0.811,50
qwen2.5,pred_conf_temp,0.9,0,0.0,0,,50
qwen2.5,pred_conf_temp,0.95,0,0.0,0,,50
qwen2.5,pred_conf_temp,0.99,0,0.0,0,,50
mistral,pred_conf_temp,0.0,50,1.0,38,0.76,50
mistral,pred_conf_temp,0.1,50,1.0,38,0.76,50
mistral,pred_conf_temp,0.2,50,1.0,38,0.76,50
mistral,pred_conf_temp,0.3,50,1.0,38,0.76,50
mistral,pred_conf_temp,0.4,50,1.0,38,0.76,50
mistral,pred_conf_temp,0.5,50,1.0,38,0.76,50
mistral,pred_conf_temp,0.6,50,1.0,38,0.76,50
mistral,pred_conf_temp,0.7,47,0.94,38,0.809,50
mistral,pred_conf_temp,0.8,0,0.0,0,,50
mistral,pred_conf_temp,0.9,0,0.0,0,,50
mistral,pred_conf_temp,0.95,0,0.0,0,,50
mistral,pred_conf_temp,0.99,0,0.0,0,,50
