model,event_id,true_label,pred_label,pred_conf,latency_sec,actor_norm
llama3.2,NIG14023,V,V,1.0,0.93,Police Forces of Nigeria
llama3.2,NIG26316,V,V,1.0,1.04,Police Forces of Nigeria
llama3.2,NIG36153,V,V,1.0,1.26,Military Forces of Nigeria
llama3.2,NIG30178,V,V,1.0,0.94,Police Forces of Nigeria
llama3.2,NIG11607,V,V,0.9,1.32,Police Forces of Nigeria
llama3.2,NIG29008,B,V,0.5,1.76,Military Forces of Nigeria
llama3.2,NIG18258,V,V,0.999,1.35,Police Forces of Nigeria
llama3.2,NIG35514,V,V,1.0,1.65,Police Forces of Nigeria Prison Guards
llama3.2,NIG36023,V,V,1.0,1.13,Military Forces of Nigeria
llama3.2,NIG20351,B,V,0.8,1.62,Military Forces of Nigeria
llama3.2,NIG20137,B,B,0.5,1.34,Military Forces of Nigeria
llama3.2,NIG22883,V,V,1.0,1.03,Police Forces of Nigeria
llama3.2,NIG26278,E,B,1.0,1.71,Military Forces of Nigeria
llama3.2,NIG14699,E,B,1.0,1.29,Military Forces of Nigeria
llama3.2,NIG12403,V,B,1.0,0.94,Military Forces of Nigeria
llama3.2,NIG7631,V,V,1.0,0.95,Military Forces of Nigeria
llama3.2,NIG36470,V,V,1.0,0.93,Police Forces of Nigeria
llama3.2,NIG11161,B,V,1.0,0.98,Police Forces of Nigeria
llama3.2,NIG19507,B,V,1.0,1.32,Military Forces of Nigeria
llama3.2,NIG22436,V,V,1.0,1.15,Police Forces of Nigeria
llama3.2,NIG30272,V,V,1.0,0.94,Police Forces of Nigeria
llama3.2,NIG26317,V,V,1.0,1.0,Police Forces of Nigeria Nigeria Customs Service
llama3.2,NIG37126,V,V,1.0,1.13,Police Forces of Nigeria
llama3.2,NIG17646,E,E,0.8,1.52,Military Forces of Nigeria
llama3.2,NIG8583,V,V,1.0,1.07,Military Forces of Nigeria
llama3.2,NIG39462,B,B,1.0,1.07,Police Forces of Nigeria
llama3.2,NIG35968,B,B,0.9,1.47,Military Forces of Nigeria
llama3.2,NIG14117,V,V,1.0,0.82,Police Forces of Nigeria
llama3.2,NIG26143,V,V,0.9999999999999999,1.75,Police Forces of Nigeria
llama3.2,NIG37868,V,V,1.0,1.04,Police Forces of Nigeria
llama3.2,NIG20819,B,V,1.0,0.97,Police Forces of Nigeria
llama3.2,NIG5409,V,V,1.0,0.86,Police Forces of Nigeria
llama3.2,NIG17226,B,B,0.9,1.67,Military Forces of Nigeria
llama3.2,NIG21931,V,V,0.9999999999999999,2.14,Military Forces of Nigeria
llama3.2,NIG37316,E,E,0.999,1.42,Military Forces of Nigeria
llama3.2,NIG24556,V,V,1.0,1.46,Military Forces of Nigeria
llama3.2,NIG35709,S,V,0.9999999999999999,1.61,Military Forces of Nigeria
llama3.2,NIG24099,V,V,1.0,1.49,Military Forces of Nigeria Lagos State Task Force
llama3.2,NIG32918,V,V,1.0,1.03,Military Forces of Nigeria
llama3.2,NIG37556,B,B,1.0,1.31,Military Forces of Nigeria
llama3.2,NIG19397,V,V,0.8,1.56,Military Forces of Nigeria
llama3.2,NIG37282,V,V,0.999,1.36,Police Forces of Nigeria
llama3.2,NIG37432,B,B,1.0,1.29,Military Forces of Nigeria
llama3.2,NIG22543,V,V,1.0,1.1,Military Forces of Nigeria
llama3.2,NIG7527,V,V,1.0,0.93,Military Forces of Nigeria
llama3.2,NIG38677,B,B,0.9,1.37,Military Forces of Nigeria
llama3.2,NIG20667,B,B,1.0,1.42,Military Forces of Nigeria
llama3.2,NIG36045,V,V,0.9999999999999999,1.89,Police Forces of Nigeria Nigeria Customs Service
llama3.2,NIG27590,V,V,1.0,1.17,Police Forces of Nigeria
llama3.2,NIG9290,S,B,1.0,1.2,Military Forces of Nigeria
llama3.2,NIG19321,B,B,1.0,1.08,Military Forces of Nigeria
llama3.2,NIG8492,V,V,0.8,1.6,Military Forces of Nigeria
llama3.2,NIG17902,E,B,1.0,1.16,Military Forces of Nigeria
llama3.2,NIG18799,V,V,1.0,0.94,Police Forces of Nigeria
llama3.2,NIG29896,V,V,1.0,1.03,Military Forces of Nigeria
llama3.2,NIG17432,B,B,0.8,1.34,Military Forces of Nigeria
llama3.2,NIG34726,B,B,0.5,1.45,Military Forces of Nigeria
llama3.2,NIG20304,B,V,1.0,1.09,Police Forces of Nigeria
llama3.2,NIG36759,B,B,1.0,0.95,Military Forces of Nigeria
llama3.2,NIG15710,V,V,1.0,0.95,Military Forces of Nigeria
llama3.2,NIG23133,V,V,1.0,1.15,Military Forces of Nigeria
llama3.2,NIG32716,B,V,1.0,1.12,Police Forces of Nigeria
llama3.2,NIG35973,S,V,1.0,0.94,Police Forces of Nigeria
llama3.2,NIG16368,V,B,1.0,1.27,Military Forces of Nigeria
llama3.2,NIG6987,V,V,1.0,0.82,Police Forces of Nigeria
llama3.2,NIG22750,B,B,0.5,1.46,Police Forces of Nigeria
llama3.2,NIG32168,V,V,1.0,1.04,Police Forces of Nigeria
llama3.2,NIG38437,B,B,1.0,0.93,Military Forces of Nigeria
llama3.2,NIG19853,B,B,1.0,1.03,Police Forces of Nigeria
qwen2.5,NIG22874,V,V,0.95,18.63,Police Forces of Nigeria
qwen2.5,NIG35951,V,V,1.0,2.74,Military Forces of Nigeria
qwen2.5,NIG17077,B,B,0.95,3.49,Military Forces of Nigeria
qwen2.5,NIG39487,V,P,0.95,3.86,Police Forces of Nigeria
qwen2.5,NIG10226,V,V,0.95,3.65,Military Forces of Nigeria
qwen2.5,NIG36796,V,V,0.95,3.48,Military Forces of Nigeria
qwen2.5,NIG29718,V,V,0.95,3.1,Police Forces of Nigeria
qwen2.5,NIG17185,E,E,0.95,2.72,Military Forces of Nigeria
qwen2.5,NIG26314,V,V,0.95,3.45,Military Forces of Nigeria
qwen2.5,NIG25924,V,V,1.0,3.17,Police Forces of Nigeria
qwen2.5,NIG13832,B,B,1.0,2.56,Military Forces of Nigeria
qwen2.5,NIG29204,V,V,1.0,3.28,Police Forces of Nigeria National Drug Law Enforcement Agency
qwen2.5,NIG32330,V,V,0.95,5.0,Police Forces of Nigeria
qwen2.5,NIG29429,V,V,0.95,4.07,Police Forces of Nigeria
qwen2.5,NIG39285,V,P,1.0,3.01,Police Forces of Nigeria
qwen2.5,NIG29281,V,V,0.95,3.23,Military Forces of Nigeria
qwen2.5,NIG7276,B,B,1.0,2.58,Military Forces of Nigeria
qwen2.5,NIG23315,V,V,0.95,3.31,Police Forces of Nigeria
qwen2.5,NIG16613,V,V,1.0,3.54,Military Forces of Nigeria
qwen2.5,NIG37259,B,B,1.0,3.33,Military Forces of Nigeria
qwen2.5,NIG38231,V,P,0.95,3.75,Police Forces of Nigeria
qwen2.5,NIG39630,B,B,1.0,4.63,Military Forces of Nigeria
qwen2.5,NIG11260,V,V,0.95,4.03,Police Forces of Nigeria
qwen2.5,NIG17691,B,B,1.0,4.04,Military Forces of Nigeria
qwen2.5,NIG37665,B,B,1.0,4.14,Police Forces of Nigeria
qwen2.5,NIG36310,S,B,1.0,4.34,Military Forces of Nigeria
qwen2.5,NIG7097,B,B,1.0,4.3,Military Forces of Nigeria
qwen2.5,NIG33265,E,B,0.95,3.83,Military Forces of Nigeria
qwen2.5,NIG39631,V,V,0.95,3.04,Military Forces of Nigeria
qwen2.5,NIG26468,V,V,1.0,3.1,Police Forces of Nigeria
qwen2.5,NIG20567,V,V,0.95,3.43,Military Forces of Nigeria
qwen2.5,NIG21781,V,V,0.95,3.69,Police Forces of Nigeria
qwen2.5,NIG14437,V,V,1.0,2.86,Police Forces of Nigeria
qwen2.5,NIG29257,V,V,0.95,3.36,Police Forces of Nigeria Department of State Services
qwen2.5,NIG32290,V,V,0.95,3.37,Military Forces of Nigeria
qwen2.5,NIG14967,S,P,0.95,2.42,Police Forces of Nigeria
qwen2.5,NIG34061,V,V,1.0,2.85,Police Forces of Nigeria
qwen2.5,NIG22889,V,V,0.95,3.52,Police Forces of Nigeria
qwen2.5,NIG35834,V,V,1.0,2.86,Military Forces of Nigeria
qwen2.5,NIG20967,V,V,1.0,2.86,Police Forces of Nigeria
qwen2.5,NIG13089,E,B,1.0,3.45,Military Forces of Nigeria
qwen2.5,NIG30838,V,V,0.95,3.42,Police Forces of Nigeria
qwen2.5,NIG34248,V,V,0.95,3.61,Police Forces of Nigeria
qwen2.5,NIG17102,V,V,1.0,2.84,Military Forces of Nigeria
qwen2.5,NIG36260,V,V,1.0,3.04,Police Forces of Nigeria
qwen2.5,NIG29720,V,V,1.0,3.07,Police Forces of Nigeria
qwen2.5,NIG38752,B,B,0.95,3.87,Military Forces of Nigeria
qwen2.5,NIG15780,E,B,1.0,2.82,Military Forces of Nigeria
qwen2.5,NIG37572,V,V,1.0,3.13,Police Forces of Nigeria
qwen2.5,NIG30110,B,B,1.0,3.69,Military Forces of Nigeria
qwen2.5,NIG16590,B,B,0.95,3.4,Military Forces of Nigeria
qwen2.5,NIG38750,B,B,1.0,3.19,Military Forces of Nigeria
qwen2.5,NIG14058,V,V,1.0,2.8,Police Forces of Nigeria
qwen2.5,NIG6117,V,V,1.0,3.14,Police Forces of Nigeria
qwen2.5,NIG27361,B,B,0.95,3.38,Military Forces of Nigeria
qwen2.5,NIG11134,V,V,0.95,3.58,Military Forces of Nigeria
qwen2.5,NIG14779,V,V,1.0,2.76,Police Forces of Nigeria
qwen2.5,NIG7737,V,V,0.95,3.21,Military Forces of Nigeria
qwen2.5,NIG25477,V,V,1.0,3.34,Military Forces of Nigeria
qwen2.5,NIG35440,V,V,0.95,3.31,Police Forces of Nigeria
qwen2.5,NIG11001,B,B,1.0,2.81,Military Forces of Nigeria
qwen2.5,NIG12251,V,V,1.0,2.56,Police Forces of Nigeria
qwen2.5,NIG22240,V,V,1.0,2.82,Police Forces of Nigeria
qwen2.5,NIG36795,V,V,1.0,3.33,Military Forces of Nigeria
qwen2.5,NIG19205,B,B,1.0,3.05,Military Forces of Nigeria
qwen2.5,NIG27413,V,V,0.95,3.09,Police Forces of Nigeria
qwen2.5,NIG32901,B,B,1.0,3.05,Military Forces of Nigeria
qwen2.5,NIG5568,B,V,0.95,3.21,Police Forces of Nigeria
qwen2.5,NIG10350,V,V,0.95,3.13,Military Forces of Nigeria
qwen2.5,NIG19816,B,V,0.95,3.46,Police Forces of Nigeria
qwen2.5,NIG35690,B,B,1.0,3.14,Military Forces of Nigeria
qwen2.5,NIG23702,V,V,1.0,3.08,Police Forces of Nigeria
qwen2.5,NIG16280,E,B,1.0,2.82,Military Forces of Nigeria
qwen2.5,NIG19159,B,B,1.0,3.41,Military Forces of Nigeria
qwen2.5,NIG12879,V,V,1.0,3.46,Military Forces of Nigeria
qwen2.5,NIG6573,V,V,1.0,2.67,Military Forces of Nigeria
qwen2.5,NIG10992,S,B,1.0,2.38,Military Forces of Nigeria
qwen2.5,NIG22286,V,V,1.0,2.88,Police Forces of Nigeria
qwen2.5,NIG16658,V,V,0.95,3.39,Police Forces of Nigeria
qwen2.5,NIG28347,B,B,0.95,3.75,Military Forces of Nigeria
qwen2.5,NIG23390,B,P,0.95,3.39,Police Forces of Nigeria
qwen2.5,NIG14023,V,V,0.95,3.36,Police Forces of Nigeria
qwen2.5,NIG26316,V,V,0.95,3.63,Police Forces of Nigeria
qwen2.5,NIG36153,V,V,1.0,3.06,Military Forces of Nigeria
qwen2.5,NIG30178,V,V,1.0,2.87,Police Forces of Nigeria
qwen2.5,NIG11607,V,V,0.95,2.5,Police Forces of Nigeria
qwen2.5,NIG29008,B,B,0.95,3.68,Military Forces of Nigeria
qwen2.5,NIG18258,V,V,1.0,2.98,Police Forces of Nigeria
qwen2.5,NIG35514,V,V,1.0,3.37,Police Forces of Nigeria Prison Guards
qwen2.5,NIG36023,V,V,1.0,3.17,Military Forces of Nigeria
qwen2.5,NIG20351,B,B,1.0,3.06,Military Forces of Nigeria
qwen2.5,NIG20137,B,B,1.0,2.84,Military Forces of Nigeria
qwen2.5,NIG22883,V,V,0.95,3.63,Police Forces of Nigeria
qwen2.5,NIG26278,E,B,1.0,3.37,Military Forces of Nigeria
qwen2.5,NIG14699,E,B,1.0,3.21,Military Forces of Nigeria
qwen2.5,NIG12403,V,V,1.0,2.95,Military Forces of Nigeria
qwen2.5,NIG7631,V,V,0.95,3.32,Military Forces of Nigeria
qwen2.5,NIG36470,V,V,1.0,2.98,Police Forces of Nigeria
qwen2.5,NIG11161,B,V,0.95,3.09,Police Forces of Nigeria
qwen2.5,NIG19507,B,B,1.0,3.35,Military Forces of Nigeria
qwen2.5,NIG22436,V,V,0.95,3.47,Police Forces of Nigeria
qwen2.5,NIG30272,V,V,1.0,2.85,Police Forces of Nigeria
qwen2.5,NIG26317,V,V,0.95,3.11,Police Forces of Nigeria Nigeria Customs Service
qwen2.5,NIG37126,V,V,1.0,3.09,Police Forces of Nigeria
qwen2.5,NIG17646,E,B,1.0,2.85,Military Forces of Nigeria
qwen2.5,NIG8583,V,V,0.95,3.38,Military Forces of Nigeria
qwen2.5,NIG39462,B,V,1.0,3.27,Police Forces of Nigeria
qwen2.5,NIG35968,B,B,1.0,3.13,Military Forces of Nigeria
qwen2.5,NIG14117,V,P,0.95,2.41,Police Forces of Nigeria
qwen2.5,NIG26143,V,V,0.95,3.65,Police Forces of Nigeria
qwen2.5,NIG37868,V,V,1.0,2.63,Police Forces of Nigeria
qwen2.5,NIG20819,B,B,1.0,2.85,Police Forces of Nigeria
qwen2.5,NIG5409,V,V,1.0,2.59,Police Forces of Nigeria
qwen2.5,NIG17226,B,B,1.0,2.85,Military Forces of Nigeria
qwen2.5,NIG21931,V,V,1.0,3.05,Military Forces of Nigeria
qwen2.5,NIG37316,E,E,1.0,2.94,Military Forces of Nigeria
qwen2.5,NIG24556,V,V,1.0,2.85,Military Forces of Nigeria
qwen2.5,NIG35709,S,P,0.95,3.11,Military Forces of Nigeria
qwen2.5,NIG24099,V,V,1.0,3.1,Military Forces of Nigeria Lagos State Task Force
qwen2.5,NIG32918,V,V,1.0,3.12,Military Forces of Nigeria
qwen2.5,NIG37556,B,B,1.0,2.86,Military Forces of Nigeria
qwen2.5,NIG19397,V,V,1.0,3.12,Military Forces of Nigeria
qwen2.5,NIG37282,V,V,1.0,3.07,Police Forces of Nigeria
qwen2.5,NIG37432,B,B,1.0,3.39,Military Forces of Nigeria
qwen2.5,NIG22543,V,V,1.0,3.1,Military Forces of Nigeria
qwen2.5,NIG7527,V,V,0.95,3.7,Military Forces of Nigeria
qwen2.5,NIG38677,B,B,1.0,3.59,Military Forces of Nigeria
qwen2.5,NIG20667,B,B,0.95,4.12,Military Forces of Nigeria
qwen2.5,NIG36045,V,V,1.0,3.54,Police Forces of Nigeria Nigeria Customs Service
qwen2.5,NIG27590,V,V,0.95,3.91,Police Forces of Nigeria
qwen2.5,NIG9290,S,B,1.0,3.4,Military Forces of Nigeria
qwen2.5,NIG19321,B,B,1.0,3.29,Military Forces of Nigeria
qwen2.5,NIG8492,V,P,1.0,3.19,Military Forces of Nigeria
qwen2.5,NIG17902,E,B,1.0,3.09,Military Forces of Nigeria
qwen2.5,NIG18799,V,V,0.95,3.15,Police Forces of Nigeria
qwen2.5,NIG29896,V,V,0.95,2.79,Military Forces of Nigeria
qwen2.5,NIG17432,B,B,0.95,3.42,Military Forces of Nigeria
qwen2.5,NIG34726,B,B,1.0,3.41,Military Forces of Nigeria
qwen2.5,NIG20304,B,B,0.95,3.45,Police Forces of Nigeria
qwen2.5,NIG36759,B,B,1.0,3.11,Military Forces of Nigeria
qwen2.5,NIG15710,V,V,1.0,3.13,Military Forces of Nigeria
qwen2.5,NIG23133,V,V,1.0,2.86,Military Forces of Nigeria
qwen2.5,NIG32716,B,B,1.0,3.23,Police Forces of Nigeria
qwen2.5,NIG35973,S,R,0.95,3.15,Police Forces of Nigeria
qwen2.5,NIG16368,V,B,1.0,2.96,Military Forces of Nigeria
qwen2.5,NIG6987,V,V,1.0,3.6,Police Forces of Nigeria
qwen2.5,NIG22750,B,B,1.0,3.8,Police Forces of Nigeria
qwen2.5,NIG32168,V,V,0.95,4.37,Police Forces of Nigeria
qwen2.5,NIG38437,B,B,1.0,3.21,Military Forces of Nigeria
qwen2.5,NIG19853,B,B,0.95,4.49,Police Forces of Nigeria
mistral,NIG22874,V,V,0.95,9.83,Police Forces of Nigeria
mistral,NIG35951,V,V,0.85,2.91,Military Forces of Nigeria
mistral,NIG17077,B,B,0.95,3.35,Military Forces of Nigeria
mistral,NIG39487,V,P,0.85,3.46,Police Forces of Nigeria
mistral,NIG10226,V,V,0.95,3.21,Military Forces of Nigeria
mistral,NIG36796,V,V,0.95,3.35,Military Forces of Nigeria
mistral,NIG29718,V,V,0.85,2.54,Police Forces of Nigeria
mistral,NIG17185,E,B,1.0,3.05,Military Forces of Nigeria
mistral,NIG26314,V,V,0.95,3.39,Military Forces of Nigeria
mistral,NIG25924,V,V,0.75,3.75,Police Forces of Nigeria
mistral,NIG13832,B,B,0.95,3.11,Military Forces of Nigeria
mistral,NIG29204,V,V,0.95,3.14,Police Forces of Nigeria National Drug Law Enforcement Agency
mistral,NIG32330,V,V,0.95,3.06,Police Forces of Nigeria
mistral,NIG29429,V,V,0.95,3.08,Police Forces of Nigeria
mistral,NIG39285,V,P,0.95,3.35,Police Forces of Nigeria
mistral,NIG29281,V,V,0.85,3.1,Military Forces of Nigeria
mistral,NIG7276,B,S,0.8,2.1,Military Forces of Nigeria
mistral,NIG23315,V,V,0.85,3.17,Police Forces of Nigeria
mistral,NIG16613,V,V,0.95,3.84,Military Forces of Nigeria
mistral,NIG37259,B,B,0.85,3.14,Military Forces of Nigeria
mistral,NIG38231,V,V,0.85,3.39,Police Forces of Nigeria
mistral,NIG39630,B,B,0.95,3.73,Military Forces of Nigeria
mistral,NIG11260,V,V,0.9,2.09,Police Forces of Nigeria
mistral,NIG17691,B,B,0.95,3.1,Military Forces of Nigeria
mistral,NIG37665,B,B,0.95,3.78,Police Forces of Nigeria
mistral,NIG36310,S,E,0.95,3.25,Military Forces of Nigeria
mistral,NIG7097,B,B,1.0,4.7,Military Forces of Nigeria
mistral,NIG33265,E,E,0.95,3.89,Military Forces of Nigeria
mistral,NIG39631,V,V,0.95,3.51,Military Forces of Nigeria
mistral,NIG26468,V,V,0.95,3.77,Police Forces of Nigeria
mistral,NIG20567,V,V,0.95,3.81,Military Forces of Nigeria
mistral,NIG21781,V,V,0.95,3.55,Police Forces of Nigeria
mistral,NIG14437,V,V,0.95,3.46,Police Forces of Nigeria
mistral,NIG29257,V,V,0.95,3.37,Police Forces of Nigeria Department of State Services
mistral,NIG32290,V,V,0.85,3.47,Military Forces of Nigeria
mistral,NIG14967,S,P,0.85,2.89,Police Forces of Nigeria
mistral,NIG34061,V,V,0.85,3.74,Police Forces of Nigeria
mistral,NIG22889,V,V,0.95,2.36,Police Forces of Nigeria
mistral,NIG35834,V,V,0.95,1.59,Military Forces of Nigeria
mistral,NIG20967,V,V,0.95,1.59,Police Forces of Nigeria
mistral,NIG13089,E,B,0.95,1.86,Military Forces of Nigeria
mistral,NIG30838,V,V,0.95,1.72,Police Forces of Nigeria
mistral,NIG34248,V,V,0.85,1.86,Police Forces of Nigeria
mistral,NIG17102,V,V,0.95,1.28,Military Forces of Nigeria
mistral,NIG36260,V,V,0.95,1.73,Police Forces of Nigeria
mistral,NIG29720,V,V,0.95,1.86,Police Forces of Nigeria
mistral,NIG38752,B,B,0.95,1.87,Military Forces of Nigeria
mistral,NIG15780,E,B,1.0,1.45,Military Forces of Nigeria
mistral,NIG37572,V,V,0.95,1.85,Police Forces of Nigeria
mistral,NIG30110,B,B,0.95,2.16,Military Forces of Nigeria
mistral,NIG16590,B,B,0.95,1.6,Military Forces of Nigeria
mistral,NIG38750,B,B,0.95,1.74,Military Forces of Nigeria
mistral,NIG14058,V,V,0.95,1.76,Police Forces of Nigeria
mistral,NIG6117,V,B,0.85,1.73,Police Forces of Nigeria
mistral,NIG27361,B,B,0.85,1.6,Military Forces of Nigeria
mistral,NIG11134,V,V,0.85,1.87,Military Forces of Nigeria
mistral,NIG14779,V,V,0.95,1.13,Police Forces of Nigeria
mistral,NIG7737,V,V,0.85,1.57,Military Forces of Nigeria
mistral,NIG25477,V,V,0.95,1.87,Military Forces of Nigeria
mistral,NIG35440,V,V,0.85,1.75,Police Forces of Nigeria
mistral,NIG11001,B,B,0.95,1.58,Military Forces of Nigeria
mistral,NIG12251,V,V,0.95,1.14,Police Forces of Nigeria
mistral,NIG22240,V,V,0.95,1.63,Police Forces of Nigeria
mistral,NIG36795,V,V,0.95,1.74,Military Forces of Nigeria
mistral,NIG19205,B,B,0.95,1.74,Military Forces of Nigeria
mistral,NIG27413,V,V,0.95,1.59,Police Forces of Nigeria
mistral,NIG32901,B,B,0.95,1.73,Military Forces of Nigeria
mistral,NIG5568,B,B,0.85,1.6,Police Forces of Nigeria
mistral,NIG10350,V,V,0.95,1.58,Military Forces of Nigeria
mistral,NIG19816,B,B,0.85,1.59,Police Forces of Nigeria
mistral,NIG35690,B,B,0.95,1.9,Military Forces of Nigeria
mistral,NIG23702,V,V,0.95,1.73,Police Forces of Nigeria
mistral,NIG16280,E,B,0.95,1.61,Military Forces of Nigeria
mistral,NIG19159,B,B,0.95,1.92,Military Forces of Nigeria
mistral,NIG12879,V,V,0.95,1.93,Military Forces of Nigeria
mistral,NIG6573,V,V,0.9,1.13,Military Forces of Nigeria
mistral,NIG10992,S,S,1.0,1.16,Military Forces of Nigeria
mistral,NIG22286,V,V,0.95,1.3,Police Forces of Nigeria
mistral,NIG16658,V,V,0.95,1.66,Police Forces of Nigeria
mistral,NIG28347,B,B,0.95,1.76,Military Forces of Nigeria
mistral,NIG23390,B,B,0.85,1.61,Police Forces of Nigeria
mistral,NIG14023,V,V,0.95,1.61,Police Forces of Nigeria
